"id","scope_kind","feature","domain","original_type","original_audience","original_priority","original_prototype_target","original_scenarios","description","personas","journeys","screens","permission_contract","edge_cases","verification_status","observed_run_evidence","required_evidence","acceptance_checks","related_ids","implementation_status","evidence_basis","historical_audit_status","historical_audit_limitation","competitor_evidence","source_refs","delivery_scope","reconciled_on"
"A040","baseline","Theme search and filters","Themes","Inherited","All","not_assigned","not_assigned","not_assigned","Theme search and filters. Inherited behavior: Style discovery. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Search/filter themes with empty-state recovery; filters do not mutate the current theme. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 04-theme-manager-presets.png; Style discovery. Evidence about Architect only.","E01 || E03#A040","committed_scope_not_completion","2026-09-25"
"A041","baseline","Light dark and state preview","Themes","Inherited","Designers","not_assigned","not_assigned","not_assigned","Light dark and state preview. Inherited behavior: Includes hover and active states. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Preview light/dark plus hover/focus/error states before applying; previewing does not save changes. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 04-theme-manager-presets.png; Includes hover and active states. Evidence about Architect only.","E01 || E03#A041","committed_scope_not_completion","2026-09-25"
"A042","baseline","Cards Dashboard Marketing Palette previews","Themes","Inherited","Designers","not_assigned","not_assigned","not_assigned","Cards Dashboard Marketing Palette previews. Inherited behavior: Four preview contexts. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Inspect card/dashboard/marketing/palette theme samples; application tokens match the accepted preview. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 04-theme-manager-presets.png; Four preview contexts. Evidence about Architect only.","E01 || E03#A042","committed_scope_not_completion","2026-09-25"
"A043","baseline","Personal and organization themes","Themes","Inherited","Teams","not_assigned","not_assigned","not_assigned","Personal and organization themes. Inherited behavior: Reusable scopes. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Save personal and organization themes with ownership; unauthorized edits to organization themes are denied. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 05-theme-manager-my-themes.png; Reusable scopes. Evidence about Architect only.","E01 || E03#A043","committed_scope_not_completion","2026-09-25"
"A044","baseline","Paste globals.css","Themes","Inherited","Developers","not_assigned","not_assigned","not_assigned","Paste globals.css. Inherited behavior: No content submitted. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Import valid globals.css after validation; reject unsafe content and preserve previous tokens on parse failure. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 06-custom-theme-sources.png; No content submitted. Evidence about Architect only.","E01 || E03#A044","committed_scope_not_completion","2026-09-25"
"A045","baseline","Generate theme from design document","Themes","Inherited","Designers","not_assigned","not_assigned","not_assigned","Generate theme from design document. Inherited behavior: PDF Word or text. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Derive proposed tokens from a design document with provenance; review uncertain mappings before applying. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 06-custom-theme-sources.png; PDF Word or text. Evidence about Architect only.","E01 || E03#A045","committed_scope_not_completion","2026-09-25"
"A046","baseline","Upload theme zip","Themes","Inherited","Developers","not_assigned","not_assigned","not_assigned","Upload theme zip. Inherited behavior: No upload performed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Inspect theme ZIP entries and assets; reject path traversal, unsupported files and excessive expansion. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 06-custom-theme-sources.png; No upload performed. Evidence about Architect only.","E01 || E03#A046","committed_scope_not_completion","2026-09-25"
"A047","baseline","Import theme from GitHub beta","Themes","Inherited","Developers","not_assigned","not_assigned","not_assigned","Import theme from GitHub beta. Inherited behavior: No OAuth performed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Import a theme from a pinned GitHub revision; show beta/support limits and recover from denied access. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 06-custom-theme-sources.png; No OAuth performed. Evidence about Architect only.","E01 || E03#A047","committed_scope_not_completion","2026-09-25"
"A048","baseline","Import theme from Figma beta","Themes","Inherited","Designers","not_assigned","not_assigned","not_assigned","Import theme from Figma beta. Inherited behavior: No authorization performed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Nontechnical || Developer || PM || QA || Client","J12 || J02","SC07 || SC04","Project contributor edits; designated design/PM approver approves; Client only assigned reviews.","EC01 || EC02 || EC03 || EC11 || EC04 || EC14","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Import permitted Figma tokens/assets with version; missing permissions or unmapped values are actionable. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC14); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 06-custom-theme-sources.png; No authorization performed. Evidence about Architect only.","E01 || E03#A048","committed_scope_not_completion","2026-09-25"
"A049","baseline","Automatic pre-build planning","Planning","Inherited","All","not_assigned","not_assigned","not_assigned","Automatic pre-build planning. Inherited behavior: Fresh run blocked by zero balance. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Generate internal build planning from the request; Direct Build proceeds without forcing a planning screen. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-010; these requirements supplement or correct this row.","COR-010","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; Fresh run blocked by zero balance. Evidence about Architect only.","E01 || E03#A049","committed_scope_not_completion","2026-09-25"
"A050","baseline","Guided clarification questions","Planning","Inherited","Non-technical","not_assigned","not_assigned","not_assigned","Guided clarification questions. Inherited behavior: Suggested choices or free text. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Ask only unresolved app-specific questions in chat; no generic form or Clarification stage heading. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-009; these requirements supplement or correct this row.","COR-009","partial","E04 reports prompt/project entry and clarification; E06 rejects the fixed form flow and mandatory Direct Build documents. The corrected conversational execution journey is pending. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; Suggested choices or free text. Evidence about Architect only.","E01 || E03#A050 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A051","baseline","Skip to Start Building","Planning","Inherited","All","not_assigned","not_assigned","not_assigned","Skip to Start Building. Inherited behavior: Early handoff. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Choose Direct Build and proceed under the execution contract; enterprise documentation is optional while policy gates remain. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-010; these requirements supplement or correct this row.","COR-010","partial","E04 reports prompt/project entry and clarification; E06 rejects the fixed form flow and mandatory Direct Build documents. The corrected conversational execution journey is pending. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; Early handoff. Evidence about Architect only.","E01 || E03#A051 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A052","baseline","Living PRD","Planning","Inherited","Product and technical","not_assigned","not_assigned","not_assigned","Living PRD. Inherited behavior: Updates with iteration. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Edit/version a living PRD in Full Delivery; changing approved scope invalidates affected approvals. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports editable template PRD/TRD and PM/developer approval; these are templates, not autonomous drafting. Notion publishing and complete revision-bound lifecycle gates remain unconnected or unproven.","Working locally","Editable brief and acceptance criteria, export.","Live verified; 21-plan-document.png; Updates with iteration. Evidence about Architect only.","E01 || E03#A052 || E04","committed_scope_not_completion","2026-09-25"
"A053","baseline","High-fidelity App Mockup","Planning","Inherited","All","not_assigned","not_assigned","not_assigned","High-fidelity App Mockup. Inherited behavior: Generated before implementation. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Render a request-specific clickable mockup; label prototypes and mock services and test the requested interactions. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E03 historical row reports Partial: Clickable sample app, not prompt-generated output. No newer row-specific verification reviewed.","Partial","Clickable sample app, not prompt-generated output.","Live verified; 22-app-mockup.png; Generated before implementation. Evidence about Architect only.","E01 || E03#A053","committed_scope_not_completion","2026-09-25"
"A054","baseline","Mockup code view","Planning","Inherited","Developers","not_assigned","not_assigned","not_assigned","Mockup code view. Inherited behavior: Generated HTML and CSS. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Show code responsible for the mockup; edits and displayed preview correspond to the same revision. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E03 historical row reports Partial: Editable source draft is independent of sample preview. No newer row-specific verification reviewed.","Partial","Editable source draft is independent of sample preview.","Live verified; 22-app-mockup.png; Generated HTML and CSS. Evidence about Architect only.","E01 || E03#A054","committed_scope_not_completion","2026-09-25"
"A055","baseline","Workflow diagram","Planning","Inherited","Agent builders","not_assigned","not_assigned","not_assigned","Workflow diagram. Inherited behavior: Passed into build. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Render an editable workflow from project context; invalid connections are rejected and graph versions persist. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E03 historical row reports Partial: Editable agent graph; no generated full architecture diagram. No newer row-specific verification reviewed.","Partial","Editable agent graph; no generated full architecture diagram.","Docs verified; Planning docs; Passed into build. Evidence about Architect only.","E01 || E03#A055","committed_scope_not_completion","2026-09-25"
"A056","baseline","Reusable skill files","Planning","Inherited","Agent builders","not_assigned","not_assigned","not_assigned","Reusable skill files. Inherited behavior: skill.md artifacts. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Create/version/export reusable skill files with allowed scope; imported instructions cannot grant tool access. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; skill.md artifacts. Evidence about Architect only.","E01 || E03#A056","committed_scope_not_completion","2026-09-25"
"A057","baseline","PDF and PPT planning artifacts","Planning","Inherited","Product","not_assigned","not_assigned","not_assigned","PDF and PPT planning artifacts. Inherited behavior: Stakeholder handoff. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Generate PDF/PPT artifacts with requested content and inspect rendered pages/slides for clipping and omissions. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; Stakeholder handoff. Evidence about Architect only.","E01 || E03#A057","committed_scope_not_completion","2026-09-25"
"A058","baseline","Starter files","Planning","Inherited","Developers","not_assigned","not_assigned","not_assigned","Starter files. Inherited behavior: Scaffold support. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Generate starter files for the selected stack and record provenance; files form a runnable supported project. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Docs verified; Planning docs; Scaffold support. Evidence about Architect only.","E01 || E03#A058","committed_scope_not_completion","2026-09-25"
"A059","baseline","Back to Plan Mode","Planning","Inherited","All","not_assigned","not_assigned","not_assigned","Back to Plan Mode. Inherited behavior: Return before or after handoff. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","PM || Developer || Nontechnical","J04 || J03","SC04 || SC05 || SC06","PM owns business scope; Developer owns technical approval; approval bound to version.","EC01 || EC02 || EC03 || EC11 || EC08 || EC04","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Return to optional planning while preserving chat and work; planning discussion alone cannot mutate code. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC08, EC04); preserve drafts on recoverable failure and enforce the permission contract server-side.","","working_locally_reported","E03 historical row reports Working locally: Lifecycle and navigation return to Plan. No newer row-specific verification reviewed.","Working locally","Lifecycle and navigation return to Plan.","Docs verified; Planning docs; Return before or after handoff. Evidence about Architect only.","E01 || E03#A059","committed_scope_not_completion","2026-09-25"
"A060","baseline","Optional GitAgent choice","Planning","Inherited","Developers","not_assigned","not_assigned","not_assigned","Optional GitAgent choice. Inherited behavior: Early beta. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Developer || QA","J03","SC12","Repository contributor subject to CODEOWNERS/branch protection; merge grant separate.","EC01 || EC02 || EC03 || EC11 || EC06 || EC04 || EC09","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Explain optional GitAgent ownership and supported repo requirements; declining it leaves a valid build path. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC06, EC04, EC09); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Docs verified; GitAgent docs; Early beta. Evidence about Architect only.","E01 || E03#A060","committed_scope_not_completion","2026-09-25"
"A061","baseline","Split chat and workspace layout","Builder","Inherited","All","not_assigned","not_assigned","not_assigned","Split chat and workspace layout. Inherited behavior: Conversation plus inspection. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Maintain chat left and active work right on desktop; mobile pane switching preserves the same run and draft. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-008; these requirements supplement or correct this row.","COR-008","partial","E04 and E08 support an existing responsive conversation/work-panel layout. E06 requests continuous agentic interaction and smooth section navigation; a screenshot does not prove transitions or execution. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Working locally","Responsive conversation and output workspace.","Live verified; 20-builder-app-preview.png; Conversation plus inspection. Evidence about Architect only.","E01 || E03#A061 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A062","baseline","Plan Agents App Database tabs","Builder","Inherited","All","not_assigned","not_assigned","not_assigned","Plan Agents App Database tabs. Inherited behavior: Lifecycle navigation. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Switch work panels without remounting the shell or losing chat/drafts; only available authorized resources appear. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-008; these requirements supplement or correct this row.","COR-008","partial","E04 and E08 support an existing responsive conversation/work-panel layout. E06 requests continuous agentic interaction and smooth section navigation; a screenshot does not prove transitions or execution. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Partial","All core destinations available in sidebar and mobile menu.","Live verified; 20-builder-app-preview.png; Lifecycle navigation. Evidence about Architect only.","E01 || E03#A062 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A063","baseline","Build session history","Builder","Inherited","All","not_assigned","not_assigned","not_assigned","Build session history. Inherited behavior: Timestamped sessions. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM","J02 || J03","SC04","Project contributor within persisted task contract; external mutations follow policy.","EC01 || EC02 || EC03 || EC11 || EC09 || EC10 || EC18","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Reload a conversation and recover ordered messages and run links; workspace boundaries apply to history. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC09, EC10, EC18); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-008; these requirements supplement or correct this row.","COR-008","partial","E03 historical row reports Partial: Saved conversation and prompt reuse. No newer row-specific verification reviewed.","Partial","Saved conversation and prompt reuse.","Live verified; 20-builder-app-preview.png; Timestamped sessions. Evidence about Architect only.","E01 || E03#A063","committed_scope_not_completion","2026-09-25"
